Tratamiento ID;Grupo Medico ID;Tratamiento Descripcion
625;44;"INVISALIGN TEEN (CF-B): INSTALACIÓN INICIAL"
626;44;"INVISALIGN TEEN (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
627;44;"INVISALIGN TEEN (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
628;44;"INVISALIGN TEEN (SF): INSTALACIÓN INICIAL"
629;44;"INVISALIGN TEEN: CAMBIO A FULL"
630;44;"INVISALIGN TEEN: CAMBIO A ISEVEN"
631;44;"INVISALIGN TEEN: CAMBIO A LITE"
632;44;"INVISALIGN TEEN: CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
633;44;"INVISALIGN TEEN: CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
634;44;"INVISALIGN TEEN: IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO"
635;44;"INVISALIGN TEEN: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO ADICIONAL"
636;44;"INVISALIGN TEEN: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO PRIMERO"
637;44;"INVISALIGN TEEN: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO SEGUNDO"
638;44;"INVISALIGN TEEN: IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO TERCERO"
639;44;"INVISALIGN: CAMBIO DE ALINEADOR"
640;44;"INVISALIGN: CEMENTADO ATACHE"
641;44;"INVISALIGN: CONTROL"
642;44;"INVISALIGN: CORRECCIÓN A MITAD DE TRATAMIENTO"
643;44;"INVISALIGN: ENVÍO DE PRESCRIPCIÓN"
644;44;"INVISALIGN: ENVÍO DE REGISTROS"
645;44;"INVISALIGN: ESCANER 3D INTRAORAL"
646;44;"INVISALIGN: EXPLICACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
647;44;"INVISALIGN: MODIFICACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
648;44;"INVISALIGN: RECEMENTADO ATACHE"
649;44;"INVISALIGN: RECEPCIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
650;44;"INVISALIGN: REPOSICIÓN ALINEADOR (POR ARCADA)"
651;44;"INVISALIGN: REPOSICIÓN ATACHE"
652;44;"INVISALIGN: RETIRADA ATACHE"
653;44;"INVISALIGN: TRASNFERENCIA DEL CASO"
654;44;"INVISALIGN: URGENCIA"
1567;44;"INVISALIGN FULL (DOS ARCADAS) (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1568;44;"INVISALIGN FULL (DOS ARCADAS) (CF-A): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1569;44;"INVISALIGN FULL (DOS ARCADAS) (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1570;44;"INVISALIGN FULL (DOS ARCADAS) (CF-A): INSTALACIÓN INICIAL"
1571;44;"INVISALIGN FULL (DOS ARCADAS) (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1572;44;"INVISALIGN FULL (DOS ARCADAS) (CF-B): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1573;44;"INVISALIGN FULL (DOS ARCADAS) (CF-B): RESTO DEL TRATAMIENTO (FINANCIACIÓN)"
1574;44;"INVISALIGN FULL (DOS ARCADAS) (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1575;44;"INVISALIGN FULL (DOS ARCADAS) (CF-B): INSTALACIÓN INICIAL"
1577;44;"INVISALIGN FULL (DOS ARCADAS) (SF): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1580;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A FULL (UNA ARCADA)"
1581;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A ISEVEN (DOS ARCADAS)"
1582;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A ISEVEN (UNA ARCADA)"
1583;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A LITE (DOS ARCADAS)"
1584;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A LITE (UNA ARCADA)"
1585;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A TEEN (DOS ARCADAS)"
1586;44;"INVISALIGN FULL (DOS ARCADAS): CAMBIO A TEEN (UNA ARCADA)"
1587;44;"INVISALIGN FULL (DOS ARCADAS): CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1588;44;"INVISALIGN FULL (DOS ARCADAS): CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1589;44;"INVISALIGN FULL (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1590;44;"INVISALIGN FULL (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1591;44;"INVISALIGN FULL (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO INCLUIDO"
1592;44;"INVISALIGN FULL (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO NO INCLUIDO"
1593;44;"INVISALIGN FULL (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1594;44;"INVISALIGN FULL (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1595;44;"INVISALIGN FULL (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO"
1596;44;"INVISALIGN FULL (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO NO INCLUIDO"
1597;44;"INVISALIGN FULL (UNA ARCADA) (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1598;44;"INVISALIGN FULL (UNA ARCADA) (CF-A): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1599;44;"INVISALIGN FULL (UNA ARCADA) (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1600;44;"INVISALIGN FULL (UNA ARCADA) (CF-A): INSTALACIÓN INICIAL"
1601;44;"INVISALIGN FULL (UNA ARCADA) (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1602;44;"INVISALIGN FULL (UNA ARCADA) (CF-B): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1603;44;"INVISALIGN FULL (UNA ARCADA) (CF-B): RESTO DEL TRATAMIENTO (FINANCIACIÓN)"
1604;44;"INVISALIGN FULL (UNA ARCADA) (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1605;44;"INVISALIGN FULL (UNA ARCADA) (CF-B): INSTALACIÓN INICIAL"
1606;44;"INVISALIGN FULL (UNA ARCADA) (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1607;44;"INVISALIGN FULL (UNA ARCADA) (SF): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1608;44;"INVISALIGN FULL (UNA ARCADA) (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1609;44;"INVISALIGN FULL (UNA ARCADA) (SF): INSTALACIÓN INICIAL"
1610;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A FULL (DOS ARCADAS)"
1611;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A ISEVEN (DOS ARCADAS)"
1612;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A ISEVEN (UNA ARCADA)"
1613;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A LITE (DOS ARCADAS)"
1614;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A LITE (UNA ARCADA)"
1615;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A TEEN (DOS ARCADAS)"
1616;44;"INVISALIGN FULL (UNA ARCADA): CAMBIO A TEEN (UNA ARCADA)"
1617;44;"INVISALIGN FULL (UNA ARCADA): CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1618;44;"INVISALIGN FULL (UNA ARCADA): CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1619;44;"INVISALIGN FULL (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1620;44;"INVISALIGN FULL (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1621;44;"INVISALIGN FULL (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO INCLUIDO"
1622;44;"INVISALIGN FULL (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO NO INCLUIDO"
1623;44;"INVISALIGN FULL (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1624;44;"INVISALIGN FULL (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1625;44;"INVISALIGN FULL (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO"
1626;44;"INVISALIGN FULL (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO NO INCLUIDO"
1627;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1628;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-A): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1629;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1630;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-A): INSTALACIÓN INICIAL"
1631;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1632;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-B): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1633;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-B): RESTO DEL TRATAMIENTO (FINANCIACIÓN)"
1634;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1635;44;"INVISALIGN ISEVEN (DOS ARCADAS) (CF-B): INSTALACIÓN INICIAL"
1636;44;"INVISALIGN ISEVEN (DOS ARCADAS) (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1637;44;"INVISALIGN ISEVEN (DOS ARCADAS) (SF): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1638;44;"INVISALIGN ISEVEN (DOS ARCADAS) (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1639;44;"INVISALIGN ISEVEN (DOS ARCADAS) (SF): INSTALACIÓN INICIAL"
1640;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A FULL (DOS ARCADA)"
1641;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A FULL (UNA ARCADA)"
1642;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A ISEVEN (UNA ARCADA)"
1643;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A LITE (DOS ARCADAS)"
1644;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A LITE (UNA ARCADA)"
1645;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A TEEN (DOS ARCADAS)"
1646;44;"INVISALIGN ISEVEN (DOS ARCADAS): CAMBIO A TEEN (UNA ARCADA)"
1647;44;"INVISALIGN ISEVEN (DOS ARCADAS): CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1648;44;"INVISALIGN ISEVEN (DOS ARCADAS): CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1649;44;"INVISALIGN ISEVEN (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1650;44;"INVISALIGN ISEVEN (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1651;44;"INVISALIGN ISEVEN (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO INCLUIDO"
1652;44;"INVISALIGN ISEVEN (DOS ARCADAS): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO NO INCLUIDO"
1653;44;"INVISALIGN ISEVEN (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1654;44;"INVISALIGN ISEVEN (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1655;44;"INVISALIGN ISEVEN (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO"
1656;44;"INVISALIGN ISEVEN (DOS ARCADAS): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO NO INCLUIDO"
1657;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1658;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-A): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1659;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1660;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-A): INSTALACIÓN INICIAL"
1661;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1662;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-B): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1663;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-B): RESTO DEL TRATAMIENTO (FINANCIACIÓN)"
1664;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1665;44;"INVISALIGN ISEVEN (UNA ARCADA) (CF-B): INSTALACIÓN INICIAL"
1666;44;"INVISALIGN ISEVEN (UNA ARCADA) (SF): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1667;44;"INVISALIGN ISEVEN (UNA ARCADA) (SF): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1668;44;"INVISALIGN ISEVEN (UNA ARCADA) (SF): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1669;44;"INVISALIGN ISEVEN (UNA ARCADA) (SF): INSTALACIÓN INICIAL"
1670;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A FULL (DOS ARCADAS)"
1671;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A FULL (UNA ARCADA)"
1672;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A ISEVEN (DOS ARCADAS)"
1673;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A LITE (DOS ARCADAS)"
1674;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A LITE (UNA ARCADA)"
1675;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A TEEN (DOS ARCADAS)"
1676;44;"INVISALIGN ISEVEN (UNA ARCADA): CAMBIO A TEEN (UNA ARCADA)"
1677;44;"INVISALIGN ISEVEN (UNA ARCADA): CANCELACIÓN DE TRATAMIENTO ANTES DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1678;44;"INVISALIGN ISEVEN (UNA ARCADA): CANCELACIÓN DE TRATAMIENTO DESPUÉS DE LA ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO"
1679;44;"INVISALIGN ISEVEN (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1680;44;"INVISALIGN ISEVEN (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1681;44;"INVISALIGN ISEVEN (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO INCLUIDO"
1682;44;"INVISALIGN ISEVEN (UNA ARCADA): ESCÁNER 3D INTRAORAL PARA REFINAMIENTO NO INCLUIDO"
1683;44;"INVISALIGN ISEVEN (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO INCLUIDA"
1684;44;"INVISALIGN ISEVEN (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA CORRECCIÓN A MITAD DE TRATAMIENTO NO INCLUIDA"
1685;44;"INVISALIGN ISEVEN (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO INCLUIDO"
1686;44;"INVISALIGN ISEVEN (UNA ARCADA): IMPRESIONES Y REGISTRO DE MORDIDA PARA REFINAMIENTO NO INCLUIDO"
1687;44;"INVISALIGN LITE (DOS ARCADAS) (CF-A): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1688;44;"INVISALIGN LITE (DOS ARCADAS) (CF-A): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1689;44;"INVISALIGN LITE (DOS ARCADAS) (CF-A): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1690;44;"INVISALIGN LITE (DOS ARCADAS) (CF-A): INSTALACIÓN INICIAL"
1691;44;"INVISALIGN LITE (DOS ARCADAS) (CF-B): ACEPTACIÓN DE CLINCHECK O SIMULACIÓN DE TRATAMIENTO INICIAL"
1692;44;"INVISALIGN LITE (DOS ARCADAS) (CF-B): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1693;44;"INVISALIGN LITE (DOS ARCADAS) (CF-B): RESTO DEL TRATAMIENTO (FINANCIACIÓN)"
1694;44;"INVISALIGN LITE (DOS ARCADAS) (CF-B): IMPRESIONES Y REGISTRO DE MORDIDA PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
1695;44;"INVISALIGN LITE (DOS ARCADAS) (CF-B): INSTALACIÓN INICIAL"
1697;44;"INVISALIGN LITE (DOS ARCADAS) (SF): ESCÁNER 3D INTRAORAL PARA ESTUDIO ESPECÍFICO DE INVISALIGN"
